league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,Egypt,Tarek Hamed,Egypt,MF,29,1988,2.5,0,2,0,0.0,0.79,0.0,0.0,,0,0
INT-World Cup,2018,Egypt,Trézéguet,Egypt,"MF,FW",23,1994,2.6,0,8,1,12.5,3.04,0.38,0.0,0.0,0,0
INT-World Cup,2018,England,Ashley Young,England,MF,32,1985,5.1,0,2,1,50.0,0.39,0.2,0.0,0.0,0,0
INT-World Cup,2018,England,Danny Rose,England,MF,27,1990,2.3,0,1,0,0.0,0.44,0.0,0.0,,0,0
INT-World Cup,2018,England,Danny Welbeck,England,"FW,MF",27,1990,0.1,0,2,1,50.0,15.0,7.5,0.0,0.0,0,0
INT-World Cup,2018,England,Dele Alli,England,MF,22,1996,4.0,1,5,3,60.0,1.24,0.75,0.2,0.33,0,0
INT-World Cup,2018,England,Eric Dier,England,MF,24,1994,2.8,0,5,2,40.0,1.79,0.72,0.0,0.0,0,0
INT-World Cup,2018,England,Fabian Delph,England,MF,28,1989,2.5,0,3,1,33.3,1.22,0.41,0.0,0.0,0,0
INT-World Cup,2018,England,Gary Cahill,England,DF,32,1985,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,England,Harry Kane,England,FW,24,1993,6.4,6,14,6,42.9,2.2,0.94,0.21,0.5,3,3
INT-World Cup,2018,England,Harry Maguire,England,DF,25,1993,7.2,1,11,3,27.3,1.53,0.42,0.09,0.33,0,0
INT-World Cup,2018,England,Jamie Vardy,England,FW,31,1987,1.8,0,2,0,0.0,1.13,0.0,0.0,,0,0
INT-World Cup,2018,England,Jesse Lingard,England,MF,25,1992,5.8,1,17,2,11.8,2.91,0.34,0.06,0.5,0,0
INT-World Cup,2018,England,John Stones,England,DF,24,1994,7.2,2,6,4,66.7,0.84,0.56,0.33,0.5,0,0
INT-World Cup,2018,England,Jordan Henderson,England,MF,27,1990,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,0,0
INT-World Cup,2018,England,Jordan Pickford,England,GK,24,1994,7.7,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,England,Kieran Trippier,England,MF,27,1990,6.4,1,3,1,33.3,0.47,0.16,0.33,1.0,0,0
