league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Costa Rica,Óscar Duarte,Costa Rica,DF,33,1989,3.0,1,0,0,1,0,0,0,7,2,,,0
INT-World Cup,2022,Croatia,Andrej Kramarić,Croatia,FW,30,1991,5.3,0,0,0,1,4,2,6,0,2,,,0
INT-World Cup,2022,Croatia,Ante Budimir,Croatia,FW,30,1991,0.6,0,0,0,4,2,0,0,0,1,,,0
INT-World Cup,2022,Croatia,Borna Barišić,Croatia,DF,29,1992,1.3,1,0,0,5,2,0,11,0,1,,,0
INT-World Cup,2022,Croatia,Borna Sosa,Croatia,DF,24,1998,4.7,0,0,0,4,2,0,21,2,7,,,0
INT-World Cup,2022,Croatia,Bruno Petković,Croatia,FW,27,1994,2.6,1,0,0,3,11,0,1,0,4,,,0
INT-World Cup,2022,Croatia,Dejan Lovren,Croatia,DF,32,1989,6.7,1,0,0,2,5,1,3,6,2,,,0
INT-World Cup,2022,Croatia,Dominik Livaković,Croatia,GK,27,1995,7.7,1,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Croatia,Ivan Perišić,Croatia,"FW,MF",33,1989,7.4,0,0,0,10,0,3,27,7,3,,,0
INT-World Cup,2022,Croatia,Josip Juranović,Croatia,DF,26,1995,6.7,0,0,0,1,6,0,24,2,7,,,0
INT-World Cup,2022,Croatia,Josip Stanišić,Croatia,DF,22,2000,1.0,0,0,0,1,2,0,1,1,3,,,0
INT-World Cup,2022,Croatia,Josip Šutalo,Croatia,DF,22,2000,1.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Croatia,Joško Gvardiol,Croatia,DF,20,2002,7.7,0,0,0,8,6,0,1,12,7,,,0
INT-World Cup,2022,Croatia,Kristijan Jakić,Croatia,"DF,MF",25,1997,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Croatia,Lovro Majer,Croatia,MF,24,1998,1.4,0,0,0,5,3,0,8,1,1,,,0
INT-World Cup,2022,Croatia,Luka Modrić,Croatia,MF,36,1985,7.3,1,0,0,13,15,1,33,8,11,,,0
INT-World Cup,2022,Croatia,Marcelo Brozović,Croatia,MF,29,1992,6.1,1,0,0,12,11,0,4,4,7,,,0
INT-World Cup,2022,Croatia,Mario Pašalić,Croatia,FW,27,1995,3.0,0,0,0,4,1,2,1,3,6,,,0
INT-World Cup,2022,Croatia,Marko Livaja,Croatia,FW,28,1993,2.7,0,0,0,6,3,1,1,1,1,,,0
INT-World Cup,2022,Croatia,Mateo Kovačić,Croatia,MF,28,1994,7.1,2,0,0,3,11,0,3,4,18,,,0
INT-World Cup,2022,Croatia,Mislav Oršić,Croatia,MF,29,1992,1.8,0,0,0,3,0,1,4,0,3,,,0
INT-World Cup,2022,Croatia,Nikola Vlašić,Croatia,FW,24,1997,2.3,0,0,0,4,6,0,4,1,1,,,0
INT-World Cup,2022,Denmark,Alexander Bah,Denmark,"DF,MF",24,1997,0.5,0,0,0,1,0,0,4,2,4,,,0
INT-World Cup,2022,Denmark,Andreas Christensen,Denmark,DF,26,1996,3.0,1,0,0,2,1,1,0,4,3,,,0
INT-World Cup,2022,Denmark,Andreas Cornelius,Denmark,FW,29,1993,1.0,1,0,0,4,2,0,1,0,0,,,0
INT-World Cup,2022,Denmark,Andreas Skov Olsen,Denmark,FW,22,1999,1.5,0,0,0,2,1,0,4,0,0,,,0
INT-World Cup,2022,Denmark,Christian Eriksen,Denmark,MF,30,1992,3.0,0,0,0,2,1,0,30,0,0,,,0
INT-World Cup,2022,Denmark,Christian Nørgaard,Denmark,MF,28,1994,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Denmark,Jesper Lindstrøm,Denmark,FW,22,2000,2.2,0,0,0,4,2,0,3,0,1,,,0
INT-World Cup,2022,Denmark,Joachim Andersen,Denmark,DF,26,1996,3.0,0,0,0,3,4,0,1,0,1,,,0
INT-World Cup,2022,Denmark,Joakim Mæhle,Denmark,"MF,DF",25,1997,2.8,0,0,0,1,4,0,5,2,5,,,0
INT-World Cup,2022,Denmark,Kasper Dolberg,Denmark,FW,24,1997,1.3,0,0,0,2,2,1,1,0,1,,,0
INT-World Cup,2022,Denmark,Kasper Schmeichel,Denmark,GK,35,1986,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Denmark,Martin Braithwaite,Denmark,FW,31,1991,1.1,0,0,0,0,0,2,0,0,0,,,0
