league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Croatia,Duje Ćaleta-Car,Croatia,DF,21,1996,1,90,90,12.5,1.0,1,90,1,0,,6,3.0,2,1,1,1.0,0.43
INT-World Cup,2018,Croatia,Filip Bradarić,Croatia,MF,26,1992,1,26,26,3.6,0.3,0,,0,1,25,6,3.0,1,1,0,0.0,-0.65
INT-World Cup,2018,Croatia,Ivan Perišić,Croatia,MF,29,1989,7,629,90,87.4,7.0,7,90,4,0,,0,2.57,12,8,4,0.57,-0.42
INT-World Cup,2018,Croatia,Ivan Rakitić,Croatia,MF,30,1988,7,640,91,88.9,7.1,6,105,6,1,9,0,2.57,13,8,5,0.7,0.7
INT-World Cup,2018,Croatia,Ivan Strinić,Croatia,DF,30,1987,6,508,85,70.6,5.6,6,85,2,0,,1,2.5,10,7,3,0.53,-0.32
INT-World Cup,2018,Croatia,Josip Pivarić,Croatia,DF,29,1989,4,203,51,28.2,2.3,1,93,1,3,37,3,3.0,4,2,2,0.89,0.36
INT-World Cup,2018,Croatia,Lovre Kalinić,Croatia,GK,28,1990,1,90,90,12.5,1.0,1,90,1,0,,6,3.0,2,1,1,1.0,0.43
INT-World Cup,2018,Croatia,Luka Modrić,Croatia,MF,32,1985,7,691,99,96.0,7.7,7,99,5,0,,0,2.57,13,8,5,0.65,0.65
INT-World Cup,2018,Croatia,Marcelo Brozović,Croatia,MF,25,1992,6,459,77,63.8,5.1,4,93,3,2,44,1,2.5,10,7,3,0.59,-0.1
INT-World Cup,2018,Croatia,Mario Mandžukić,Croatia,FW,32,1986,6,605,101,84.0,6.7,6,101,2,0,,1,2.5,11,8,3,0.45,-1.12
INT-World Cup,2018,Croatia,Marko Pjaca,Croatia,MF,23,1995,3,83,28,11.5,0.9,1,71,0,2,6,4,2.0,1,0,1,1.08,0.52
INT-World Cup,2018,Croatia,Mateo Kovačić,Croatia,MF,24,1994,5,185,37,25.7,2.1,1,84,0,4,25,2,3.0,3,2,1,0.49,-0.19
INT-World Cup,2018,Croatia,Milan Badelj,Croatia,MF,29,1989,3,106,35,14.7,1.2,1,92,1,2,7,4,3.0,2,1,1,0.85,0.26
INT-World Cup,2018,Croatia,Nikola Kalinić,Croatia,FW,30,1988,0,,,,,0,,0,0,,1,,,,,,
INT-World Cup,2018,Croatia,Tin Jedvaj,Croatia,DF,22,1995,1,90,90,12.5,1.0,1,90,1,0,,6,3.0,2,1,1,1.0,0.43
INT-World Cup,2018,Croatia,Vedran Ćorluka,Croatia,DF,32,1986,4,121,30,16.8,1.3,1,93,1,3,9,3,3.0,3,2,1,0.74,0.14
INT-World Cup,2018,Croatia,Šime Vrsaljko,Croatia,DF,26,1992,6,606,101,84.2,6.7,6,101,5,0,,1,2.5,11,7,4,0.59,-0.2
INT-World Cup,2018,Denmark,Andreas Christensen,Denmark,"DF,MF",22,1996,4,305,76,78.2,3.4,4,76,2,0,,0,1.25,3,2,1,0.3,0.3
INT-World Cup,2018,Denmark,Andreas Cornelius,Denmark,FW,25,1993,3,162,54,41.5,1.8,2,70,0,1,22,1,0.67,1,1,0,0.0,-0.39
INT-World Cup,2018,Denmark,Christian Eriksen,Denmark,MF,26,1992,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,3,2,1,0.23,
INT-World Cup,2018,Denmark,Frederik Rønnow,Denmark,GK,25,1992,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Denmark,Henrik Dalsgaard,Denmark,DF,28,1989,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,3,2,1,0.23,
INT-World Cup,2018,Denmark,Jannik Vestergaard,Denmark,DF,25,1992,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Denmark,Jens Stryger Larsen,Denmark,DF,27,1991,3,270,90,69.2,3.0,3,90,3,0,,1,1.67,2,1,1,0.33,0.33
